Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
15,750,825,75,0,0.1,0,650,100,38,38,75,0.004745500002172776
16,750,825,75,0,0.1,0,650,100,38,38,75,0.004714599999715574
17,750,825,75,0,0.1,0,650,100,38,38,75,0.004679600002418738
18,750,825,75,0,0.1,0,650,100,38,38,75,0.004700600002252031
19,750,825,75,0,0.1,0,650,100,38,38,75,0.004722900004708208
20,750,825,75,0,0.1,0,650,100,38,38,75,0.00472779999836348
21,750,825,75,0,0.1,0,650,100,38,38,75,0.00466259999666363
22,750,825,75,0,0.1,0,650,100,38,38,75,0.004654700001992751
23,750,825,75,0,0.1,0,650,100,38,38,75,0.004705799998191651
24,750,825,75,0,0.1,0,650,100,38,38,75,0.004720099997939542
25,750,825,75,0,0.1,0,650,100,38,38,75,0.004663599997002166
26,750,825,75,0,0.1,0,650,100,38,38,75,0.004664600004616659
27,750,825,75,0,0.1,0,650,100,38,38,75,0.004649500006053131
28,750,825,75,0,0.1,0,650,100,38,38,75,0.004724700003862381
29,750,825,75,0,0.1,0,650,100,38,38,75,0.004663500003516674
0,750,863,113,0,0.15,0,646,104,19,19,113,0.005757299994002096
1,750,863,113,0,0.15,0,646,104,19,19,113,0.005766299997048918
2,750,863,113,0,0.15,0,646,104,19,19,113,0.0057710000037332065
3,750,863,113,0,0.15,0,646,104,19,19,113,0.0057930000039050356
4,750,863,113,0,0.15,0,646,104,19,19,113,0.0057626999987405725
5,750,863,113,0,0.15,0,646,104,19,19,113,0.0057769999984884635
6,750,863,113,0,0.15,0,646,104,19,19,113,0.005749500000092667
7,750,863,113,0,0.15,0,646,104,19,19,113,0.005786500005342532
8,750,863,113,0,0.15,0,646,104,19,19,113,0.0057784000018727966
9,750,863,113,0,0.15,0,646,104,19,19,113,0.005874700000276789
10,750,863,113,0,0.15,0,646,104,19,19,113,0.005788400005258154
11,750,863,113,0,0.15,0,646,104,19,19,113,0.005834900002810173
