Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
0,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0017500000540167093
1,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0017555999802425504
2,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0017284000059589744
3,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0017160999705083668
4,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0017415000475011766
5,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0017314000288024545
6,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0017472999752499163
7,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.001606099947821349
8,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.001664099982008338
9,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0015846999594941735
10,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0016009000246413052
11,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0015912000089883804
12,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0016237000236287713
13,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.001684800023213029
14,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.001629500009585172
15,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0015760999522171915
16,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0015262000379152596
17,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0016165999695658684
18,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.001614699955098331
19,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0016067000105977058
20,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.001575700007379055
21,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0016642000409774482
22,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0017108999891206622
23,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0015906000044196844
24,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.001597299997229129
25,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0015965999918989837
26,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0015291000017896295
27,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.0016001000185497105
28,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.001585699967108667
29,6,6,2,0,0.33,3,3,0,4,2,0,0,2,36,0.001552300003822893
0,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0018740000086836517
1,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0016249999753199518
2,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.001686299976427108
3,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0018331000464968383
4,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0017090000328607857
5,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015956000424921513
6,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015534000121988356
7,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0016265000449493527
8,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015340999816544354
9,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015755000058561563
10,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0017297000158578157
11,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015637999749742448
12,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0016135000041685998
13,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015249999705702066
14,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015249000280164182
15,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015054999967105687
16,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015088000218383968
17,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015383000136353076
18,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0016375999548472464
19,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015574999852105975
20,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015982000040821731
21,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015672000008635223
22,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015858999686315656
23,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015987000078894198
24,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0016069000121206045
25,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015654999879188836
26,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015359999961219728
27,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015048999921418726
28,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0015536000137217343
29,6,6,2,0,0.33,5,5,0,4,2,0,0,2,36,0.0016135000041685998
0,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0029265000484883785
1,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.002162999997381121
2,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0021484000026248395
3,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0019142000237479806
4,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0021052000229246914
5,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0018363000126555562
6,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0018286000122316182
7,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0018147999653592706
8,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0018983000190928578
9,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0019330999930389225
10,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.001837100018747151
11,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0019322999869473279
12,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0020916000357829034
13,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.002174299967009574
14,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.001852800021879375
15,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0017391000292263925
16,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0017013999749906361
17,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0017432000022381544
18,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0018983000190928578
19,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0018862999859265983
20,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0017327000387012959
21,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0017939999816007912
22,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0017523000133223832
23,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.001805800013244152
24,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.001750499999616295
25,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.001927300007082522
26,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.001883000019006431
27,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0017588000046089292
28,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.0018047000048682094
29,6,7,2,0,0.33,2,5,0,4,2,0,0,2,36,0.001950700010638684
0,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0028531000134535134
1,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0025712999631650746
2,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0026015000184997916
3,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0025976000470109284
4,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0026534999487921596
5,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0025811000377871096
6,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.002577100007329136
7,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.002499599999282509
8,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0026954999775625765
9,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.002612199983559549
10,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0023100999533198774
11,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0024520999868400395
12,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0023291000397875905
13,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.002219799964223057
14,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.002252600039355457
15,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0022300000418908894
16,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0022051000269129872
17,8,8,2,0,0.25,5,5,0,6,2,0,0,2,36,0.0023046000278554857
