Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
1,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.158183999999892
2,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.156186099997285
3,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1202688999983366
4,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1455891999976302
5,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1126470000017434
6,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1123329000001831
7,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1677254999995057
8,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1417388000008941
9,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1287440999985847
10,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1412692000012612
11,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1294115000018792
12,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1252999999996973
13,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1646113999995578
14,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1443139000002702
15,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1623231999983545
16,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1415923999993538
17,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1400076999998419
18,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1740948999977263
19,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1458753000006254
20,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.141709700001229
21,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1388516000006348
22,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1086857000009331
23,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1363029000021925
24,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.1636832000003778
25,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.110877499999333
26,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.112907599999744
27,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.124988999999914
28,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.126736099999107
29,1000,1003,150,0,0.15,0,854,146,25,25,150,45,1.17512639999768
0,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.2306874000023527
1,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.1337425999990955
2,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.0309835000007297
3,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.053819199998543
4,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.0466020999992907
5,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.2338098000000173
6,1000,1000,200,0,0.2,0,834,166,0,0,200,45,1.98355299999821
7,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.4140378999982204
8,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.342411000001448
9,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.0297989999999118
10,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.2957268000027398
11,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.0367418999994698
12,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.1454481999971904
13,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.034143299999414
14,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.103468699999212
15,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.0442201999976533
16,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.056454900000972
17,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.000914099997317
18,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.0400332999997772
19,1000,1000,200,0,0.2,0,834,166,0,0,200,45,2.0944186999986414
