Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
7,750,750,75,0,0.1,0,632,118,38,38,75,0.007643399992957711
8,750,750,75,0,0.1,0,632,118,38,38,75,0.007532299998274539
9,750,750,75,0,0.1,0,632,118,38,38,75,0.007677100002183579
10,750,750,75,0,0.1,0,632,118,38,38,75,0.007616299997607712
11,750,750,75,0,0.1,0,632,118,38,38,75,0.0077778999984730035
12,750,750,75,0,0.1,0,632,118,38,38,75,0.00789039999654051
13,750,750,75,0,0.1,0,632,118,38,38,75,0.007794199998897966
14,750,750,75,0,0.1,0,632,118,38,38,75,0.007627200000570156
15,750,750,75,0,0.1,0,632,118,38,38,75,0.0075270000015734695
16,750,750,75,0,0.1,0,632,118,38,38,75,0.007571100002678577
17,750,750,75,0,0.1,0,632,118,38,38,75,0.007534600001235958
18,750,750,75,0,0.1,0,632,118,38,38,75,0.007812099996954203
19,750,750,75,0,0.1,0,632,118,38,38,75,0.007825399996363558
20,750,750,75,0,0.1,0,632,118,38,38,75,0.007705399999395013
21,750,750,75,0,0.1,0,632,118,38,38,75,0.007588700005726423
22,750,750,75,0,0.1,0,632,118,38,38,75,0.0075310000029276125
23,750,750,75,0,0.1,0,632,118,38,38,75,0.007555899996077642
24,750,750,75,0,0.1,0,632,118,38,38,75,0.007503099994210061
25,750,750,75,0,0.1,0,632,118,38,38,75,0.007524199994804803
26,750,750,75,0,0.1,0,632,118,38,38,75,0.007505699999455828
27,750,750,75,0,0.1,0,632,118,38,38,75,0.007549500005552545
28,750,750,75,0,0.1,0,632,118,38,38,75,0.0076140999954077415
29,750,750,75,0,0.1,0,632,118,38,38,75,0.007746000002953224
0,750,750,113,0,0.15,0,640,110,19,19,113,0.008896399995137472
1,750,750,113,0,0.15,0,640,110,19,19,113,0.008824500000628177
2,750,750,113,0,0.15,0,640,110,19,19,113,0.008799800001725089
3,750,750,113,0,0.15,0,640,110,19,19,113,0.008849300000292715
4,750,750,113,0,0.15,0,640,110,19,19,113,0.00885740000376245
5,750,750,113,0,0.15,0,640,110,19,19,113,0.008857600005285349
6,750,750,113,0,0.15,0,640,110,19,19,113,0.008801199997833464
